Long,Lat,1906-1978-ft,1906-78-m,1908-2000-m,2000-2024-m,Total-Sub-m,GPS
-95.55259,30.72071,0.2,0.06,0.08,0,0.08,TXHV
-94.391,29.563,0.2,0.06,0.1,0.04,0.14,TXH2
-94.3324,30.3955,0,0,0.05,0,0.05,TXKO
-95.8294,29.822,1.2,0.37,0.5,0.33,0.83,TXKY
-95.085,29.491,4.6,1.4,1.6,0.03,1.63,TXLC
-94.771,30.0559,0.1,0.03,0.1,0,0.1,TXLI
-95.0237,29.3922,2.8,0.85,1.1,0.1,1.2,TXLM
-94.9529,29.358,6.2,1.89,2,0,2,TXLQ
-95.915,30.96,0,0,0,0,0,TXMD
-96.0667,30.3816,0.1,0.03,0.05,0.06,0.11,TXNV
-93.95293,29.94742,0.05,0.02,0.04,0.04,0.08,TXPT
-96.6185,28.6382,0.2,0.06,0.09,0,0.09,TXPV
-95.8285,29.5425,0.4,0.12,0.15,0,0.15,TXRN
-95.8053,29.5192,0.4,0.12,0.2,0.07,0.27,TXRS
-93.89723,29.73094,0.2,0.06,0.08,0,0.08,TXSP
-95.2974,29.8975,4,1.22,1.85,0.1,1.95,TXTG
-96.9096,28.83493,0.2,0.06,0.08,0,0.08,TXVA
-96.1118,29.3246,0.1,0.03,0.05,0.05,0.1,TXWH
-94.3715,29.8058,0.2,0.06,0.1,0.05,0.15,TXWI
-95.0439,29.3904,2.8,0.85,1,0.1,1.1,UHC0
-95.1042,29.5777,5.8,1.77,1.95,0,1.9,UHCL
-95.7568,29.7281,1.6,0.49,0.6,0.35,0.95,UHCR
-95.3594,29.766,5,1.53,2,0.06,2.06,UHDT
-96.066,29.5263,0.2,0.06,0.1,0.05,0.15,UHEB
-95.3271,29.7195,6.3,1.92,2,0,2,UHEP
-95.4831,30.2363,0.3,0.09,0.25,0.2,0.45,UHJF
-95.4025,29.7192,4.8,1.46,1.94,0.05,1.99,UHRI
-95.6515,29.5747,1.75,0.53,0.75,0.1,0.85,UHSL
-94.9784,30.0576,1.1,0.34,0.4,0.05,0.45,UHWL
-95.345,29.722,5.8,1.77,1.95,0,1.95,UH01
-95.5678,29.7859,3.2,0.98,1.7,0.18,1.88,UTEX
-95.5814,29.7828,1.95,0.59,1.7,0.3,2,WCHT
-95.5331,29.7904,3.8,1.16,1.85,0.17,2.02,WDVW
-95.2287,29.6877,8,2.44,2.45,0,2.45,WEPD
-95.5054,30.1943,0.4,0.12,0.3,0.3,0.6,WHCR
-95.4695,30.11,0.8,0.24,0.45,0.3,0.75,YORS
-95.3314,29.9619,2.55,0.78,1.4,0.25,1.65,ZHU1
-94.895,29.4163,2.93,0.89,0.9,0.04,0.94,TXCityEX
-95.1458,29.9135,2.9,0.88,1.05,0.04,1.09,LKHUEX
-95.4508,29.727,4.5,1.37,1.9,0.1,2,SWestEX
-95.334,29.7909,5.4,1.65,2,0.1,2.1,NEastEX
-95.1593,29.7102,9.2,2.81,2.9,-0.05,2.85,PasadenaEX
-95.0306,29.7578,8.4,2.56,2.7,-0.03,2.67,BaytownEX
-95.2741,29.7017,7.2,2.2,2.25,0.04,2.29,EastEndEX
-97.7478,29.7242,1.7,0.52,0.65,0.3,0.95,FortBendEX
-95.5861,29.7907,3,0.92,1.75,0.2,1.95,AddicsEX
#-95.1189,29.5634,5.2,1.59,1.7,0,05,1.8,ClearLakeEX
#-95.096,29.551,4.5,1.35,1.5,0.05,1.65,NASAEX
-95.0215,29.5648,4.9,1.49,1.65,0.06,1.71,SeaBrookEX
